UML ID	Group Name	Parent Company	Mill Name	RSPO Certification	Latitude	Longitude	Country	Province	District
PO1000007497	DOUBLE DYNASTY SDN BHD	DD PALM OIL MILL SDN BHD	DD PALM	Not Certificated	3.14292	113.310333	Malaysia	Sarawak	Bintulu
PO1000007500	UNKNOWN	EBASA	EXTRACTORA DEL BARU	Not Certificated	8.319	-82.823919	Panama	Chiriquí	Barú
PO1000007502	OLEOFLORES	EXTRACTORA MARIA LA BAJA S.A.	EXTRACTORA MARIA LA BAJA S.A.	Not Certificated	9.9235	-75.327607	Colombia	Bolívar	María la Baja
PO1000007503	UNKNOWN	THACHANG PALM INDUSTRY	THACHANG PALM INDUSTRY	MB	9.282102	99.138781	Thailand	Surat Thani	Tha Chang
PO1000007504	GRUPO HAME	PALMAS DEL HORIZONTE S.A. 	AGROSERVICIOS EL TRIUNFO S.A.	IP	14.564833	-91.938944	Guatemala	Quezaltenango	Coatepeque
PO1000007505	SOUTHERN GROUP	SOUTHERN REALTY (MALAYA) SDN BHD	FERMANAGH	Not Certificated	2.650057	101.658622	Malaysia	Selangor	Sepang
PO1000007507	UNKNOWN	"THACHANA PALM OIL CO., LTD"	"THACHANA PALM OIL CO., LTD."	Not Certificated	9.60608	99.124189	Thailand	Surat Thani	Tha Chana
PO1000007508	UNKNOWN	GEMILANG SAWIT LESTARI	GEMILANG SAWIT LESTARI	Not Certificated	-0.45481	101.827	Indonesia	Riau	Kuantan Singingi
PO1000007509	UNKNOWN	GOLDEN OILINDO NUSANTARA	GOLDEN OILINDO NUSANTARA	Not Certificated	-3.1192	104.694516	Indonesia	Sumatera Selatan	Ogan Ilir
PO1000007510	UNKNOWN	THAI EASTERN TRAT CO	THAI EASTERN TRAT CO	Not Certificated	12.301469	102.46227	Thailand	Trat	Muang Trat
